"","State","City","County","Coastal","Region","Census_2010","Census_Estimates_Base","e2010","e2011","e2012","e2013","e2014","e2015","e2016","e2017","e2018","e2019","Urbanized_Cluster","Urbanized_Area"
"88","California","Garden Grove","Orange County",TRUE,"Pacific","170,883","170,958","171,181","172,957","173,809","174,422","174,423","174,343","174,571","173,422","172,195","171,644",TRUE,TRUE
"89","California","Gardena","Los Angeles County",TRUE,"Pacific","58,829","58,829","58,835","59,114","59,368","59,788","59,843","59,946","59,873","59,871","59,540","59,329",TRUE,TRUE
"90","Indiana","Gary","Lake County",TRUE,"Great Lakes","80,294","80,256","80,155","79,645","79,128","78,518","77,985","77,128","76,450","75,775","75,210","74,879",TRUE,TRUE
"91","California","Gilroy","Santa Clara County",TRUE,"Pacific","48,821","48,879","49,006","49,700","50,718","51,893","52,538","53,259","55,369","57,549","58,588","59,032",TRUE,TRUE
"92","California","Glendale","Los Angeles County",TRUE,"Pacific","191,719","191,692","191,720","192,656","193,859","195,318","198,232","199,197","200,118","201,804","200,688","199,303",TRUE,TRUE
"93","California","Glendora","Los Angeles County",TRUE,"Pacific","50,073","50,267","50,376","50,624","50,795","51,120","51,065","51,769","51,882","51,997","51,846","51,544",TRUE,TRUE
"94","Wisconsin","Green Bay","Brown County",TRUE,"Great Lakes","104,057","103,882","103,946","104,302","104,621","104,593","104,635","104,792","104,721","104,977","104,833","104,578",TRUE,TRUE
"95","Mississippi","Gulfport","Harrison County",TRUE,"Gulf of Mexico","67,793","67,785","67,904","68,865","69,782","70,801","71,173","71,346","71,518","71,945","71,771","71,705",TRUE,TRUE
"96","Indiana","Hammond","Lake County",TRUE,"Great Lakes","80,830","80,825","80,718","80,220","79,648","79,009","78,586","77,688","77,151","76,489","75,877","75,522",TRUE,TRUE
"97","Virginia","Hampton","Hampton city",TRUE,"Atlantic","137,436","137,464","137,415","136,628","137,177","137,332","137,680","136,264","135,374","134,725","134,330","134,510",TRUE,TRUE
"98","Texas","Harlingen","Cameron County",TRUE,"Gulf of Mexico","64,849","64,943","65,102","65,638","65,786","65,674","65,510","65,208","65,229","65,153","64,996","65,022",TRUE,TRUE
"99","Massachusetts","Haverhill","Essex County",TRUE,"Atlantic","60,879","60,878","60,999","61,505","61,860","62,272","62,605","62,861","63,200","63,664","63,926","64,014",TRUE,TRUE
"100","California","Hawthorne","Los Angeles County",TRUE,"Pacific","84,293","84,290","84,295","84,922","85,359","85,863","86,740","87,669","87,685","87,308","86,671","86,068",TRUE,TRUE
"101","California","Hayward","Alameda County",TRUE,"Pacific","144,186","144,427","144,835","146,935","149,406","151,753","154,376","157,999","159,331","160,324","159,760","159,203",TRUE,TRUE
"102","New York","Hempstead","Nassau County",TRUE,"Atlantic","53,891","54,018","54,081","54,187","54,982","55,476","55,488","55,407","55,367","55,363","55,246","55,113",TRUE,TRUE
"103","Florida","Hialeah","Miami-Dade County",TRUE,"Atlantic","224,669","224,704","225,470","228,127","230,445","232,316","232,850","233,872","234,283","236,314","234,941","233,339",TRUE,TRUE
"104","New Jersey","Hoboken","Hudson County",TRUE,"Atlantic","50,005","50,020","50,057","50,769","51,481","52,177","52,463","52,839","53,649","53,662","53,134","52,677",TRUE,TRUE
"105","Illinois","Hoffman Estates","Cook County, Kane County",TRUE,"Great Lakes","51,895","51,891","51,942","52,147","52,301","52,396","52,342","52,098","51,828","51,463","51,111","50,932",TRUE,TRUE
"106","Florida","Hollywood","Broward County",TRUE,"Atlantic","140,768","140,709","141,013","143,421","144,998","146,038","146,978","148,313","151,630","153,371","154,381","154,817",TRUE,TRUE
"107","Florida","Homestead","Miami-Dade County",TRUE,"Atlantic","60,512","60,748","61,034","62,214","63,148","64,246","65,290","66,192","68,045","69,124","69,254","69,523",TRUE,TRUE
"108","Hawaii","Honolulu","Honolulu County",TRUE,"Pacific","337,256","337,721","339,121","343,059","346,845","349,237","349,561","351,571","351,747","349,750","346,945","345,064",TRUE,TRUE
"109","Texas","Houston","Harris County",TRUE,"Gulf of Mexico","2,099,451","2,095,517","2,100,280","2,126,032","2,161,593","2,199,391","2,241,826","2,286,908","2,309,544","2,316,750","2,318,573","2,320,268",TRUE,TRUE
"110","California","Huntington Beach","Orange County",TRUE,"Pacific","189,992","191,038","191,296","192,995","194,174","197,107","199,610","200,653","200,284","200,938","200,126","199,223",TRUE,TRUE
"111","California","Huntington Park","Los Angeles County",TRUE,"Pacific","58,114","58,125","58,125","58,334","58,524","58,739","58,908","58,933","58,701","58,476","57,998","57,509",TRUE,TRUE
