State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Tennessee,Knoxville,Knox County,FALSE,N/A,178874,178310,178432,180084,181270,182177,183031,184334,185193,186973,187500
Massachusetts,Worcester,Worcester County,FALSE,N/A,181045,181009,181878,182489,182694,183458,184698,184910,185139,185417,185877
Texas,Brownsville,Cameron County,TRUE,Gulf of Mexico,175023,174748,175400,178241,179828,180913,182009,181984,182888,183066,183392
Washington,Vancouver,Clark County,FALSE,N/A,161791,167185,167622,169058,170056,171594,173442,176430,178627,180379,183012
Florida,Fort Lauderdale,Broward County,TRUE,Atlantic,165521,165763,166138,169021,170941,172329,175228,177407,178884,179886,182595
South Dakota,Sioux Falls,Minnehaha County,FALSE,N/A,153888,153972,154526,156446,159833,163472,167048,170206,173682,178000,181883
California,Ontario,San Bernardino County,FALSE,N/A,163924,163925,164369,165759,166665,167166,168199,170332,172709,175482,181107
Tennessee,Chattanooga,Hamilton County,FALSE,N/A,167674,170309,170559,172032,173652,174830,174461,175851,177104,178897,180557
Rhode Island,Providence,Providence County,TRUE,Atlantic,178042,177844,178100,178395,178890,178784,179217,179359,179720,179503,179335
Virginia,Newport News,N/A,TRUE,Atlantic,180719,180994,180925,180098,180094,181320,181576,180948,180179,179398,178626
California,Rancho Cucamonga,San Bernardino County,FALSE,N/A,165269,165380,166232,167945,170015,170910,173355,174367,175975,177115,177751
California,Santa Rosa,Sonoma County,TRUE,Pacific,167815,175082,175304,176351,177263,178933,180921,181968,182475,182248,177586
California,Oceanside,San Diego County,TRUE,Pacific,167086,167382,167919,169853,171467,173088,174259,175188,175495,175930,176080
Oregon,Salem,Marion County,FALSE,N/A,154637,154909,155229,156146,157369,158843,160721,163251,166599,169850,173442
California,Elk Grove,Sacramento County,FALSE,N/A,153015,153010,153394,155631,158123,160314,162800,166090,169243,171503,172886
California,Garden Grove,Orange County,TRUE,Pacific,170883,170956,171186,172971,173866,174518,174556,174522,174805,173646,172646
Florida,Pembroke Pines,Broward County,TRUE,Atlantic,154750,154898,155268,158272,160258,162160,164103,165809,168315,170657,172374
Arizona,Peoria,"Maricopa County, Yavapai County",FALSE,N/A,154065,154090,154891,155050,155352,156371,157780,160432,164212,168192,172259
Oregon,Eugene,Lane County,TRUE,Pacific,156185,156428,156527,157411,158241,158451,160284,162960,166016,169558,171245
California,Corona,Riverside County,FALSE,N/A,152374,152511,153249,154882,157608,158986,160656,163391,166306,167503,168819
North Carolina,Cary,"Wake County, Chatham County",FALSE,N/A,135234,135777,137021,142116,146073,151257,155379,159661,162426,165897,168160
Missouri,Springfield,Greene County,FALSE,N/A,159498,159453,159484,160338,162015,163810,164854,166231,166672,167387,168122
Colorado,Fort Collins,Larimer County,FALSE,N/A,143986,144855,145267,146602,149390,152462,156458,160605,162583,165099,167830
Mississippi,Jackson,Hinds County,FALSE,N/A,173514,173590,173738,175168,174845,172943,172030,170943,169080,166909,164422
Virginia,Alexandria,N/A,FALSE,N/A,139966,140008,140740,144220,147314,149674,151431,153863,157045,159654,160530
California,Hayward,Alameda County,TRUE,Pacific,144186,144332,144746,146845,149338,151709,154350,157890,159147,159994,159620
California,Lancaster,Los Angeles County,TRUE,Pacific,156633,156642,156822,158087,158302,159136,159753,159973,159831,159618,159053
Colorado,Lakewood,Jefferson County,FALSE,N/A,142980,142626,142786,144102,145418,146909,149481,152122,154117,155048,156798
Tennessee,Clarksville,Montgomery County,FALSE,N/A,132929,132897,133480,136101,142553,142194,145842,148180,149203,153054,156794
California,Palmdale,Los Angeles County,TRUE,Pacific,152750,152751,152962,154035,154942,156614,156929,157196,156992,156808,156667
California,Salinas,Monterey County,TRUE,Pacific,150441,150615,150904,152454,153901,155097,155913,156512,157144,156824,156259
Massachusetts,Springfield,Hampden County,FALSE,N/A,153060,153173,153613,153882,154056,154186,154513,154740,154278,154498,155032
Florida,Hollywood,Broward County,TRUE,Atlantic,140768,140711,141018,143422,145022,146081,147039,148357,151685,153393,154823
Texas,Pasadena,Harris County,TRUE,Gulf of Mexico,149043,149307,149529,151159,152690,153580,154509,154624,154632,153968,153219
California,Sunnyvale,Santa Clara County,TRUE,Pacific,140081,140060,140465,143812,146474,148121,149856,151715,153633,153254,153185
Georgia,Macon,Bibb County,FALSE,N/A,(X),155795,155810,156160,156610,155036,154333,153948,153180,152892,153095
Kansas,Kansas City,Wyandotte County,FALSE,N/A,145786,145785,145883,146233,147482,148942,150187,151635,152617,152938,152958
California,Pomona,Los Angeles County,TRUE,Pacific,149058,149030,149083,149682,150484,151137,152325,152553,152637,152659,152361
California,Escondido,San Diego County,TRUE,Pacific,143911,143972,144437,146102,147604,148860,149799,150824,151383,151399,152213
Texas,Killeen,Bell County,FALSE,N/A,127921,127696,128980,130801,134234,136322,137657,140263,143045,145480,149103
Illinois,Naperville,Dupage County,FALSE,N/A,141853,142154,142388,143189,144015,144912,146228,147012,147243,147689,148304
Illinois,Joliet,Will County,FALSE,N/A,147433,147435,147654,147900,148227,147910,147767,147626,148001,148065,148099
Washington,Bellevue,King County,TRUE,Pacific,122363,127885,128358,130271,132194,133823,136445,139918,141927,145451,147599
Illinois,Rockford,Winnebago County,FALSE,N/A,152871,153283,153148,152122,151267,150629,149415,148496,147781,147028,146526
Georgia,Savannah,Chatham County,TRUE,Atlantic,136286,137002,137492,140476,142388,142660,143949,145221,145883,145829,145862
New Jersey,Paterson,Passaic County,FALSE,N/A,146199,146181,146397,145595,146136,146089,145970,145911,145682,145804,145627
California,Torrance,Los Angeles County,TRUE,Pacific,145438,145173,145183,145811,146340,146791,147001,147155,146660,146025,145182
Connecticut,Bridgeport,Fairfield County,TRUE,Atlantic,144229,144239,144858,146131,147097,147726,147892,147460,146353,145408,144900
Texas,McAllen,Hidalgo County,FALSE,N/A,129877,131559,132123,134717,136434,137649,139027,140323,142418,142841,143433
Texas,Mesquite,"Dallas County, Kaufman County",FALSE,N/A,139824,139593,139860,141421,143297,143565,144495,144977,144681,144236,142816
New York,Syracuse,Onondaga County,FALSE,N/A,145170,145206,145270,144566,144462,145096,144385,143827,143181,142300,142749
Texas,Midland,"Midland County, Martin County",FALSE,N/A,111147,111190,111284,113949,119830,124223,128446,133523,135019,136353,142344
California,Pasadena,Los Angeles County,TRUE,Pacific,137122,137120,137123,137678,138163,139391,139665,141211,141833,141995,141371
Tennessee,Murfreesboro,Rutherford County,FALSE,N/A,108755,109073,109524,111716,113824,116872,120562,125585,131242,136103,141344
Florida,Miramar,Broward County,TRUE,Atlantic,122041,121958,122299,125046,128695,130127,134504,136454,138925,140123,140823
Ohio,Dayton,Montgomery County,FALSE,N/A,141527,141995,142355,141988,141909,142029,141118,140834,140858,140416,140640
California,Fullerton,Orange County,TRUE,Pacific,135161,135237,135299,136401,138153,138716,138949,140131,140648,139928,139640
Kansas,Olathe,Johnson County,FALSE,N/A,125872,125900,126249,128295,129945,131789,132839,134279,135883,137501,139605
California,Orange,Orange County,TRUE,Pacific,136416,136432,136762,138207,139070,139705,139189,140313,140434,140100,139484
Colorado,Thornton,Adams County,FALSE,N/A,118772,118784,119391,121919,124400,127096,129584,132301,134718,136945,139436
California,Roseville,Placer County,FALSE,N/A,118788,119156,119795,122596,124311,126659,128304,129961,132699,135101,139117
Texas,Denton,Denton County,FALSE,N/A,113383,116371,117058,120137,123631,125100,128309,131204,134266,136082,138541
Texas,Waco,McLennan County,FALSE,N/A,124805,124831,125409,126480,127543,129065,129925,131882,133517,136433,138183
Arizona,Surprise,Maricopa County,FALSE,N/A,117517,117501,117674,119648,122322,125114,127982,130449,132971,134915,138161
Texas,Carrollton,"Denton County, Dallas County, Collin County",FALSE,N/A,119097,119176,119521,122463,125410,126459,128245,132890,133470,135777,136879
Utah,West Valley City,Salt Lake County,FALSE,N/A,129480,129491,129666,131028,132527,133814,134506,135981,136751,136408,136401
South Carolina,Charleston,Charleston County,TRUE,Atlantic,120083,120574,120911,123202,125428,127456,129654,132632,134620,135745,136208
Michigan,Warren,Macomb County,FALSE,N/A,134056,134056,134067,134147,134574,135305,135665,135377,135233,135127,134587
Virginia,Hampton,N/A,TRUE,Atlantic,137436,137384,137336,136528,137083,137243,137597,136187,135238,134581,134313
Florida,Gainesville,Alachua County,FALSE,N/A,124354,124266,124443,125414,125743,126104,127340,129159,131474,132018,133857
California,Visalia,Tulare County,FALSE,N/A,124442,124520,124867,125657,126459,127379,128594,129529,130874,132610,133800
Florida,Coral Springs,Broward County,TRUE,Atlantic,121096,122091,122391,124632,126182,127296,128366,129653,131237,132987,133507
South Carolina,Columbia,Richland County,FALSE,N/A,129272,130432,130783,131286,131744,131526,131785,133584,134079,133869,133451
Iowa,Cedar Rapids,Linn County,FALSE,N/A,126326,126430,126701,128064,128306,128663,129499,130635,131169,132333,133174
Michigan,Sterling Heights,Macomb County,FALSE,N/A,129699,129675,129709,130031,130671,131528,132148,132051,132528,132731,132964
Connecticut,New Haven,New Haven County,TRUE,Atlantic,129779,129884,129817,130839,131117,130915,130618,130391,130424,130640,130418
Connecticut,Stamford,Fairfield County,TRUE,Atlantic,122643,122633,122782,123980,125054,126318,127974,128407,129042,129951,129775
California,Concord,Contra Costa County,TRUE,Pacific,122067,122168,122507,123517,124697,125926,127176,128319,129014,129502,129688
Washington,Kent,King County,TRUE,Pacific,92411,118614,119063,120962,123155,124522,125794,127324,128316,129372,129618
California,Santa Clara,Santa Clara County,TRUE,Pacific,116468,116497,116808,117888,119420,120590,122097,126154,126561,126803,129488
New Jersey,Elizabeth,Union County,TRUE,Atlantic,124969,124972,125262,125789,126605,127305,127698,127746,128074,128205,128885
Texas,Round Rock,Williamson County,FALSE,N/A,99887,100010,100756,103836,106470,109507,112613,115871,120705,123463,128739
California,Thousand Oaks,Ventura County,TRUE,Pacific,126683,126481,126729,127330,127693,128287,128729,128796,128715,128484,127690
Louisiana,Lafayette,Lafayette Parish,FALSE,N/A,120623,121667,121834,122646,123559,124840,126000,126875,127156,126365,126143
Georgia,Athens,Clarke County,FALSE,N/A,115452,115441,116154,116971,118643,119629,119131,122252,123559,125462,125964
Kansas,Topeka,Shawnee County,FALSE,N/A,127473,127631,127913,128216,128087,127726,127496,127422,126989,126583,125904
California,Simi Valley,Ventura County,TRUE,Pacific,124237,124243,124469,125034,125319,125939,126338,126290,126196,126366,125851
North Dakota,Fargo,Cass County,FALSE,N/A,105549,105610,106008,108104,110821,113676,115648,118027,120126,122469,124844
Oklahoma,Norman,Cleveland County,FALSE,N/A,110925,110925,111380,113872,115629,118136,117693,119745,121512,122965,123471
Missouri,Columbia,Boone County,FALSE,N/A,108500,109044,109427,111501,113549,115441,117034,118699,120494,121892,123180
Texas,Abilene,Taylor County,FALSE,N/A,117063,117512,117806,118749,119852,119792,120647,121694,121856,122210,122999
North Carolina,Wilmington,New Hanover County,TRUE,Atlantic,106476,106454,106750,108125,109645,111671,113309,115024,118722,120753,122607
Connecticut,Hartford,Hartford County,FALSE,N/A,124775,124770,125359,125431,125277,125142,124683,124338,123679,122902,122587
California,Victorville,San Bernardino County,FALSE,N/A,115903,115899,116281,117911,119885,120783,121213,121599,121912,122191,122312
Texas,Pearland,"Brazoria County, Fort Bend County, Harris County",TRUE,Gulf of Mexico,91252,93128,94083,96311,99361,102955,106192,111553,116332,119831,122149
California,Vallejo,Solano County,TRUE,Pacific,115942,115897,116127,116694,117604,118575,119644,120558,121064,121644,121913
Michigan,Ann Arbor,Washtenaw County,FALSE,N/A,113934,113973,114160,115519,116074,116818,118733,119931,121035,121621,121890
California,Berkeley,Alameda County,TRUE,Pacific,112580,112494,112875,113953,115311,116968,118735,120739,121487,121999,121643
Pennsylvania,Allentown,Lehigh County,FALSE,N/A,118032,118097,118114,118774,118880,118832,119181,120068,120371,120966,121433
Texas,Richardson,"Dallas County, Collin County",FALSE,N/A,99223,99251,99581,101657,103705,105180,109163,110871,113890,117028,120981
Texas,Odessa,Ector County,FALSE,N/A,99940,99876,99828,102039,105985,110287,114620,118614,117325,116910,120568
Colorado,Arvada,"Jefferson County, Adams County",FALSE,N/A,106433,106722,106882,108036,110192,111846,113679,115409,117726,118998,120492
Massachusetts,Cambridge,Middlesex County,FALSE,N/A,105162,105176,105038,105905,107911,112069,113019,113497,115730,117133,118977
Texas,Sugar Land,Fort Bend County,FALSE,N/A,78817,107850,108417,109858,111283,113501,116815,118304,118560,118611,118600
Texas,Beaumont,Jefferson County,TRUE,Gulf of Mexico,118296,117278,117381,117871,117001,118052,117769,118591,119109,119266,118428
Michigan,Lansing,Ingham County,FALSE,N/A,114297,114253,114309,114533,114653,114736,115102,115358,116635,117882,118427
Indiana,Evansville,Vanderburgh County,FALSE,N/A,117429,120075,120095,120207,120263,120296,120154,119442,118915,118288,117963
Minnesota,Rochester,Olmsted County,FALSE,N/A,106769,106801,107025,108066,108893,110408,111183,112091,113927,115405,116961
Missouri,Independence,Jackson County,FALSE,N/A,116830,116800,116881,116898,117305,117275,117504,117241,117232,117127,116925
California,Fairfield,Solano County,TRUE,Pacific,105321,105425,105562,106208,107471,109130,110735,112411,114545,115887,116884
Utah,Provo,Utah County,FALSE,N/A,112488,112487,112919,115181,115560,116127,115397,114590,116573,117518,116702
Florida,Clearwater,Pinellas County,TRUE,Gulf of Mexico,107685,109019,108933,109075,109420,110170,111065,112876,114157,115476,116478
Texas,College Station,Brazos County,FALSE,N/A,93857,94221,94656,95659,97763,100620,103497,109034,111238,113892,116218
Utah,West Jordan,Salt Lake County,FALSE,N/A,103712,103601,104034,106356,108155,109812,110503,111394,113380,114070,116046
California,Carlsbad,San Diego County,TRUE,Pacific,105328,105329,105679,107468,108982,110723,111688,112785,113423,114641,115877
California,El Monte,Los Angeles County,TRUE,Pacific,113475,113507,113658,114088,114859,115447,115685,115908,115657,115618,115586
California,Murrieta,Riverside County,FALSE,N/A,103466,103680,104181,105329,106491,107379,108089,109451,111606,113116,114985
California,Temecula,Riverside County,FALSE,N/A,100097,100020,100710,102644,104308,106102,108713,111185,112451,114006,114742
Illinois,Springfield,Sangamon County,FALSE,N/A,116250,116998,117141,117780,117930,117637,117501,117231,116540,115688,114694
Florida,Palm Bay,Brevard County,TRUE,Atlantic,103190,104008,104140,104125,104824,105341,106252,108213,110385,112326,114194
California,Costa Mesa,Orange County,TRUE,Pacific,109960,110078,110225,111162,111830,112307,112577,112930,113092,113825,113615
Colorado,Westminster,"Adams County, Jefferson County",FALSE,N/A,106114,106144,106442,107746,109101,110458,111567,112475,113034,113254,113479
South Carolina,North Charleston,"Berkeley County, Charleston County, Dorchester County",TRUE,Atlantic,97471,97559,97939,99895,102014,104096,106832,108697,109859,110932,113237
Florida,Miami Gardens,Miami-Dade County,TRUE,Atlantic,107167,107162,107518,109945,111149,111939,112036,112739,113128,113504,113069
New Hampshire,Manchester,Hillsborough County,FALSE,N/A,109565,109549,109613,110016,110635,110758,110951,111039,111659,112117,112525
North Carolina,High Point,"Guilford County, Randolph County, Davidson County, Forsyth County",FALSE,N/A,104371,104514,104697,105812,106541,107559,108796,110285,111685,111977,112316
California,Downey,Los Angeles County,TRUE,Pacific,111772,111775,111788,112232,112629,112934,113195,113398,113066,112596,112269
California,Clovis,Fresno County,FALSE,N/A,95631,95835,96246,97423,98482,99548,101853,103807,106366,109362,112022
Florida,Pompano Beach,Broward County,TRUE,Atlantic,99845,99844,100072,101762,102911,104218,105549,106973,109402,110379,111954
Colorado,Pueblo,Pueblo County,FALSE,N/A,106595,106544,106834,107211,107556,107760,107921,109031,110173,111129,111750
Illinois,Elgin,Kane County,FALSE,N/A,108188,108147,108320,109160,109665,110128,111054,112018,112322,112181,111683
Massachusetts,Lowell,Middlesex County,FALSE,N/A,106519,106528,106787,107767,108805,109768,110541,111149,111250,111728,111670
California,Antioch,Contra Costa County,TRUE,Pacific,102372,102745,103082,104194,105580,107384,109119,110326,111074,111419,111535
Florida,West Palm Beach,Palm Beach County,TRUE,Atlantic,99919,100666,100817,101499,102540,103443,104350,106893,108790,110345,111398
Illinois,Peoria,Peoria County,FALSE,N/A,115007,115108,114936,115373,115746,116599,115916,115150,114189,112592,111388
Washington,Everett,Snohomish County,TRUE,Pacific,103019,103070,103291,103557,104555,105175,106580,107219,109098,110385,111262
California,San Buenaventura (Ventura),Ventura County,TRUE,Pacific,106433,107236,107458,108340,109064,109419,109641,109839,110127,110346,111128
Colorado,Centennial,Arapahoe County,FALSE,N/A,100377,100635,100990,102510,104266,106667,107478,109170,109793,110453,110831
Florida,Lakeland,Polk County,FALSE,N/A,97422,97309,97679,98868,99035,100366,102082,103607,105917,107791,110516
Oregon,Gresham,Multnomah County,FALSE,N/A,105594,105639,106010,107715,108785,109240,110034,110387,111813,111342,110158
California,Richmond,Contra Costa County,TRUE,Pacific,103701,103262,103639,104888,106044,107119,107969,109082,109652,109786,110146
Montana,Billings,Yellowstone County,FALSE,N/A,104170,104294,104521,105457,106772,108581,108458,109638,109647,109806,109550
California,Inglewood,Los Angeles County,TRUE,Pacific,109673,109672,109687,110542,110938,111055,110971,110860,110470,110108,109419
Oklahoma,Broken Arrow,"Tulsa County, Wagoner County",FALSE,N/A,98850,98838,99252,100225,102241,103674,105028,106931,107968,108450,109171
Georgia,Sandy Springs,Fulton County,FALSE,N/A,93853,93820,94271,96664,98879,99381,101386,104791,105553,106544,108797
California,Jurupa Valley,Riverside County,FALSE,N/A,(X),94989,95593,97188,98353,99479,100099,101474,103248,105739,108393
Oregon,Hillsboro,Washington County,FALSE,N/A,91611,92274,92569,94285,96364,98192,99873,102594,105371,107421,108389
Connecticut,Waterbury,New Haven County,TRUE,Atlantic,110366,110329,110371,110086,110035,109751,109551,109018,108473,108277,108093
California,Santa Maria,Santa Barbara County,TRUE,Pacific,99553,99595,99690,100299,101149,102112,103096,104532,105896,106375,107408
Colorado,Boulder,Boulder County,FALSE,N/A,97385,97640,98512,101115,102169,103640,105482,107793,108288,107895,107353
Colorado,Greeley,Weld County,FALSE,N/A,92889,92945,93264,94393,95339,96594,98649,101607,104575,106639,107348
California,Daly City,San Mateo County,TRUE,Pacific,101123,101132,101282,102485,103961,105047,105972,106610,106941,106736,107008
Idaho,Meridian,Ada County,FALSE,N/A,75092,76959,77402,79687,82094,85060,89151,92147,96280,100653,106804
Texas,Lewisville,Denton County,FALSE,N/A,95290,95458,95920,97595,99643,101065,102841,103744,104735,106077,106586
Florida,Davie,Broward County,TRUE,Atlantic,91992,91950,92320,94465,95806,97653,99257,101311,103358,105239,106558
California,West Covina,Los Angeles County,TRUE,Pacific,106098,106108,106128,106738,107130,107424,107552,107677,107607,107115,106311
Texas,League City,"Galveston County, Harris County",TRUE,Gulf of Mexico,83560,83563,84077,86271,88262,90839,94205,97965,101800,104554,106244
Texas,Tyler,Smith County,FALSE,N/A,96900,96887,97173,98048,98986,99784,101515,102711,103954,104810,105729
California,Norwalk,Los Angeles County,TRUE,Pacific,105549,105549,105547,105915,106019,106192,106282,106365,106002,105620,105120
California,San Mateo,San Mateo County,TRUE,Pacific,97207,97207,97399,98538,99859,101385,102773,103581,104420,104399,105025
Wisconsin,Green Bay,Brown County,FALSE,N/A,104057,103911,103977,104337,104657,104630,104671,104820,104719,104986,104879
Texas,Wichita Falls,Wichita County,FALSE,N/A,104553,104682,104793,103946,104622,104955,105216,103960,104203,104493,104576
Nevada,Sparks,Washoe County,FALSE,N/A,90264,91066,91189,91566,92372,93296,94547,95765,98105,100149,104246
California,Burbank,Los Angeles County,TRUE,Pacific,103340,103358,103357,103749,104125,104430,104508,104613,104266,104351,103695
California,Rialto,San Bernardino County,FALSE,N/A,99171,99112,99338,100579,101315,101603,102107,102572,102992,103326,103440
Texas,Allen,Collin County,FALSE,N/A,84246,84275,84920,87661,89786,92138,94168,98190,99512,100912,103383
California,El Cajon,San Diego County,TRUE,Pacific,99478,99513,99754,100730,101491,102274,102777,103248,103573,103509,103241
New Mexico,Las Cruces,Doña Ana County,FALSE,N/A,97618,97728,98312,100238,101092,101307,101275,101179,101357,101968,102926
Washington,Renton,King County,TRUE,Pacific,90927,91903,92345,94180,96024,97183,98709,100571,101638,102107,102153
Iowa,Davenport,Scott County,FALSE,N/A,99685,99693,99671,100283,101151,102046,102360,102434,102395,102335,102085
Indiana,South Bend,St. Joseph County,FALSE,N/A,101168,101241,101191,101138,100990,101165,101411,101585,101884,101968,101860
California,Vista,San Diego County,TRUE,Pacific,93834,93349,93566,94526,95495,96418,97225,99885,101040,101028,101224
Alabama,Tuscaloosa,Tuscaloosa County,FALSE,N/A,90468,90373,90550,91429,92807,94378,96147,97988,98990,100118,101113
Texas,San Angelo,Tom Green County,FALSE,N/A,93200,93221,93625,94526,95844,97068,98592,99716,99809,99830,100215
Wisconsin,Kenosha,Kenosha County,FALSE,N/A,99218,99323,99440,99599,99908,99756,99785,99559,99485,99965,100164
California,Vacaville,Solano County,TRUE,Pacific,92428,92422,92563,93227,93673,94047,95436,96301,98104,99695,100154
Virginia,Roanoke,N/A,FALSE,N/A,97032,96912,96722,96776,98092,98860,99443,99733,99572,99436,99920
Washington,Spokane Valley,Spokane County,FALSE,N/A,89755,89743,90045,90680,90658,91345,92751,94329,95794,97793,99703
Florida,Boca Raton,Palm Beach County,TRUE,Atlantic,84392,84409,85162,86456,87649,89701,91296,93520,96456,98234,99244
Oregon,Beaverton,Washington County,FALSE,N/A,89803,89732,90108,91573,92574,93306,94751,95897,97720,97790,98962
Texas,Edinburg,Hidalgo County,FALSE,N/A,77100,82020,82515,84834,86342,88470,90505,91994,93053,95815,98665
Missouri,Lee's Summit,"Jackson County, Cass County",FALSE,N/A,91364,91366,91525,91911,92371,92969,93731,94858,96012,97123,98461
New Mexico,Rio Rancho,Sandoval County,FALSE,N/A,87521,87375,87964,89477,90431,91329,91957,93108,94500,96226,98023
Arizona,Yuma,Yuma County,FALSE,N/A,93064,90717,91334,94263,93751,93075,93728,94287,95386,96531,97908
Oregon,Bend,Deschutes County,FALSE,N/A,76639,76651,76652,77552,78592,80879,83493,86238,90611,94525,97590
Utah,Orem,Utah County,FALSE,N/A,88328,88328,88722,89600,90579,91327,91375,93770,96865,97627,97521
Kansas,Lawrence,Douglas County,FALSE,N/A,87643,87757,88068,89125,89950,91179,92719,94104,95648,96753,97286
