State,City,County,Coastal,Region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
New York,Albany,Albany County,FALSE,N/A,97856,97841,97744,97940,98399,98487,98370,98234,97939,97726,97279
Georgia,South Fulton,Fulton County,FALSE,N/A,(X),85569,86123,88672,91005,91749,92495,93505,95239,96019,97277
Washington,Federal Way,King County,TRUE,Pacific,89306,89300,89562,90720,91997,92723,93532,95359,97241,97377,97044
Utah,Sandy,Salt Lake County,FALSE,N/A,87461,89977,90034,90877,91782,92459,93215,94421,96293,96314,96901
California,San Marcos,San Diego County,TRUE,Pacific,83781,83642,83942,85023,86863,89494,92471,93338,95116,95811,96847
California,Compton,Los Angeles County,TRUE,Pacific,96455,96411,96454,96948,97393,97664,97717,97746,97410,97174,96617
Colorado,Longmont,"Boulder County, Weld County",FALSE,N/A,86270,86310,86424,87668,88891,90217,90635,92317,93310,94712,96577
Pennsylvania,Erie,Erie County,FALSE,N/A,101786,101747,101724,101506,101287,100533,99712,99024,98239,97313,96471
Idaho,Nampa,Canyon County,FALSE,N/A,81557,81843,81961,82675,83909,86351,87876,89494,91052,93631,96252
Michigan,Flint,Genesee County,FALSE,N/A,102434,102230,101997,101207,100185,99427,98565,97761,97026,96488,95943
Massachusetts,Brockton,Plymouth County,TRUE,Atlantic,93810,93767,93809,94109,94047,94365,94863,95433,95391,95659,95777
Florida,Sunrise,Broward County,TRUE,Atlantic,84439,84305,84549,86299,88591,89776,90687,91940,93681,94261,95458
Massachusetts,New Bedford,Bristol County,TRUE,Atlantic,95072,95068,95056,94886,94997,95073,95132,95111,95070,94990,95315
California,Hesperia,San Bernardino County,FALSE,N/A,90173,90117,90300,91198,91620,91850,92169,92765,93383,94610,95274
California,Mission Viejo,Orange County,TRUE,Pacific,93305,93112,93237,94038,94671,96069,96716,96664,96299,95698,95202
California,Chico,Butte County,FALSE,N/A,86187,86807,86788,87269,87934,88392,89545,90487,91733,93326,94776
Massachusetts,Lynn,Essex County,TRUE,Atlantic,90329,90333,90543,90716,91452,92048,92599,93247,93406,94095,94654
Georgia,Roswell,Fulton County,FALSE,N/A,88346,88332,88795,90899,93214,93669,93610,93826,94525,94636,94650
Virginia,Portsmouth,Norfolk County,FALSE,N/A,95535,95527,95445,95726,96467,96071,95826,96308,95094,94693,94632
Massachusetts,Quincy,Norfolk County,TRUE,Atlantic,92271,92262,92463,92541,92979,93484,93730,93807,94133,94317,94580
California,South Gate,Los Angeles County,TRUE,Pacific,94396,94412,94438,94606,94616,94737,94831,95723,95396,94997,94443
Michigan,Dearborn,Wayne County,FALSE,N/A,98153,98148,97851,97167,96879,96071,95985,95475,95018,94645,94333
Florida,Plantation,Broward County,TRUE,Atlantic,84955,84880,85329,86873,87942,90077,91007,91933,92798,93838,94288
North Carolina,Concord,Cabarrus County,FALSE,N/A,79066,79317,79510,80650,82073,83358,85345,87444,89729,92085,94130
Michigan,Livonia,Wayne County,FALSE,N/A,96942,96857,96627,96134,95920,95244,95238,94830,94471,94173,93971
Washington,Yakima,Yakima County,FALSE,N/A,91067,91276,91646,92616,92687,92765,92859,93058,93572,93675,93884
Indiana,Carmel,Hamilton County,FALSE,N/A,79191,79189,79778,81664,83615,85869,86459,87805,90762,91989,93510
Indiana,Fishers,Hamilton County,FALSE,N/A,76794,77325,77868,80533,82431,84468,86924,88708,89868,91683,93362
North Carolina,Greenville,Pitt County,FALSE,N/A,84554,84722,85109,86277,87642,88879,89292,90557,91045,92068,93137
Oklahoma,Edmond,Oklahoma County,FALSE,N/A,81405,81149,81466,82943,84936,86988,88656,90168,91469,91830,93127
Oklahoma,Lawton,Comanche County,FALSE,N/A,96867,96867,97850,98223,98455,97018,96691,95994,94133,93975,92859
California,Menifee,Riverside County,FALSE,N/A,77519,77496,78044,79786,81165,83210,84708,86616,88286,90334,92595
North Carolina,Asheville,Buncombe County,FALSE,N/A,83393,83433,83471,84455,85329,86367,87855,89387,91145,91798,92452
Florida,Deltona,Volusia County,TRUE,Atlantic,85182,85117,85082,84958,85125,85575,86293,87745,89360,90632,91951
California,Carson,Los Angeles County,TRUE,Pacific,91714,91714,91607,91704,92199,92596,92767,92860,92710,92329,91909
California,Tracy,San Joaquin County,FALSE,N/A,82922,83406,83606,84288,84733,84892,85715,86884,89081,90579,91812
California,Redding,Shasta County,FALSE,N/A,89861,89861,89900,90176,90397,90775,91151,90990,91210,91605,91772
Florida,Miami Beach,Miami-Dade County,TRUE,Atlantic,87779,87739,88085,89967,90830,91424,91452,91908,92042,92061,91718
California,Chino,San Bernardino County,FALSE,N/A,77983,78078,78657,79606,79982,80848,84367,85253,87576,89717,91583
California,Santa Monica,Los Angeles County,TRUE,Pacific,89736,89742,89763,90492,91369,92115,92180,92545,92330,91902,91411
California,Santa Barbara,Santa Barbara County,TRUE,Pacific,88410,88380,88470,88612,89312,90127,90880,91334,91579,91574,91350
California,Indio,Riverside County,FALSE,N/A,76036,79138,79648,81053,82292,83427,85221,87036,88340,89589,91240
Virginia,Suffolk,N/A,TRUE,Atlantic,84585,84572,84823,84751,85258,85765,86892,88127,89322,90275,91185
California,Westminster,Orange County,TRUE,Pacific,89701,89613,89769,90710,91243,91660,91609,91656,91602,91261,90938
Washington,Bellingham,Whatcom County,TRUE,Pacific,80885,81252,81344,81896,82347,82638,83440,85063,87038,89139,90665
California,Livermore,Alameda County,TRUE,Pacific,80968,81414,81591,82583,83843,85476,87058,88246,89535,90030,90269
California,San Leandro,Alameda County,TRUE,Pacific,84950,84967,85113,85916,86989,88102,89239,90539,90666,90297,89703
Massachusetts,Fall River,Bristol County,TRUE,Atlantic,88857,88857,88874,88812,88842,88993,89153,89313,89288,89274,89661
Washington,Kirkland,King County,TRUE,Pacific,48787,80585,80866,82084,83432,84539,86078,87410,88062,89259,89557
South Carolina,Mount Pleasant,Charleston County,TRUE,Atlantic,67843,67812,67961,69259,71626,74377,77400,81074,83950,86747,89338
New Hampshire,Nashua,Hillsborough County,FALSE,N/A,86494,86478,86570,86804,86933,87335,87664,88293,88664,89081,89246
Connecticut,Norwalk,Fairfield County,TRUE,Atlantic,85603,85623,85971,86619,87269,87743,88047,88287,88487,88399,89047
Massachusetts,Newton,Middlesex County,FALSE,N/A,85146,85114,85399,85845,87054,87508,88295,88614,88604,88855,88904
Pennsylvania,Reading,Berks County,FALSE,N/A,88082,88016,88064,88212,88165,88295,88204,88083,88145,88158,88495
Missouri,O'Fallon,St. Charles County,FALSE,N/A,79329,79493,79865,81088,82056,83071,84170,85037,86438,87544,88472
Illinois,Champaign,Champaign County,FALSE,N/A,81055,81272,81427,82345,83223,84136,84967,86166,87156,87716,88029
California,Citrus Heights,Sacramento County,FALSE,N/A,83301,83274,83364,83872,84413,85037,85793,86666,87292,87782,87910
Arkansas,Fort Smith,Sebastian County,FALSE,N/A,86209,86269,86297,87206,87630,87400,87154,87697,87615,87879,87845
Texas,Conroe,Montgomery County,FALSE,N/A,56207,65259,65599,67214,69543,70576,73692,76269,82054,84807,87654
Florida,Palm Coast,Flagler County,TRUE,Atlantic,75180,75205,75504,76637,77365,78413,80039,81908,84089,86067,87607
Utah,Ogden,Weber County,FALSE,N/A,82825,82838,83051,83251,83820,84130,84360,85253,86704,87072,87325
Utah,St. George,Washington County,FALSE,N/A,72897,72759,72840,73786,75012,76284,77960,79586,81684,84509,87178
California,Hawthorne,Los Angeles County,TRUE,Pacific,84293,84293,84302,84939,85400,85926,86831,87790,87835,87460,86965
Illinois,Waukegan,Lake County,FALSE,N/A,89078,89072,89126,88954,88778,88884,88788,88371,88174,87638,86792
Arkansas,Fayetteville,Washington County,FALSE,N/A,73580,73573,73955,75595,76961,78651,80424,82346,83598,85601,86751
California,Redwood City,San Mateo County,TRUE,Pacific,76815,76822,77018,77979,79211,81075,82793,85318,85328,86385,86200
California,Whittier,Los Angeles County,TRUE,Pacific,85331,85313,85323,85643,86004,86383,86563,86812,86732,86460,86064
Minnesota,Duluth,St. Louis County,FALSE,N/A,86265,86266,86190,86231,86157,86035,86089,85969,86058,85980,85884
